,details
0,"{'Location': '16th cross Rangaswamy Layout, Chowdeshwari Amma Temple, Kormangala, Bangalore, India, 560030', 'overall_rating': '7.9', 'Name': 'The Raj Residency', 'reviews': [{'Review_Rating': '7.2', 'Review_Heading': 'Staff is awesome.”', 'Review_Body': ""Location for going with uber or ola cab is great becuz the price of cab from this location is best I've found. Otherwise the location for walking distance its not very good.""}, {'Review_Rating': '7.2', 'Review_Heading': 'Good for Budget Options”', 'Review_Body': 'Not so clean and neat but ok for budget'}, {'Review_Rating': '5.6', 'Review_Heading': 'Worth for the money. ”', 'Review_Body': 'Need to maintain more cleanliness... '}], 'price': '797', 'img_link': 'https://pix8.agoda.net/hotelImages/33906104/0/a9803a2422e189e5ab37808a08a90853.jpg?ce=0&s=1024x768', 'room_size': '200m²', 'amenities': ['Outdoor view', 'Balcony/terrace', 'Bathtub', 'Free Wi-Fi', 'Free Wi-Fi in all rooms!', 'Telephone', 'TV', 'BBQ facilities', 'Seating area', 'Washing machine'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/raj-residency-h21978829/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
1,"{'Location': '133, 2nd Cross Rd, 7th Block, Koramangala, Kormangala, Bangalore, India, 560095', 'overall_rating': '7.1', 'Name': 'FabHotel Emara Boutique', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Good location ”', 'Review_Body': 'Good for a late night movie'}, {'Review_Rating': '5.2', 'Review_Heading': 'Above average”', 'Review_Body': 'Cockroach are there everywhere and bed is very worst '}], 'price': '1,933', 'img_link': 'https://pix8.agoda.net/hotelImages/28214640/-1/9545c76658462bd38a1e45caac2cb16c.jpg?ca=23&ce=0&s=1024x768', 'room_size': '14m²', 'amenities': ['Shower and bathtub', 'Free Wi-Fi', 'Accessible toilet', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Alarm clock', 'Daily newspaper', 'Fan', 'Hand sanitizer', 'Linens', 'Wake-up service', 'Coffee/tea maker', 'Free bottled water', 'Fire extinguisher', 'Individual air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/vipra-enclave/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
2,"{'Location': '# 137/7 6th A cross 9th main sadashivanagar bangalore, Rajajinagar, Bangalore, India, 560080', 'overall_rating': '7.0', 'Name': 'The Chevron Orchards', 'reviews': [{'Review_Rating': '6.4', 'Review_Heading': 'Not bad!”', 'Review_Body': 'Fairly clean if not the cleanest. Good staff. Great premises. Departmental stores and food shops and restaurents if you can walk about 3-4 hundered yards.\nAir conditioner works like a noisy truck.  Towels must be cleaned with bleach liquid. Bed sheets can be better. Getting a commute vehicle like an auto is difficult. You have to walk a 300 yards distance. '}, {'Review_Rating': '2.4', 'Review_Heading': 'Not good”', 'Review_Body': 'Room was average and no facility in room so I m not recommend to any one '}, {'Review_Rating': '2.0', 'Review_Heading': 'They give fake booking confirmation ”', 'Review_Body': 'The hotel doesn’t exist now but still Agoda gives CONFIRMATION OF BOOKING but it’s fake and you will loose money '}, {'Review_Rating': '7.6', 'Review_Heading': 'Convenient location”', 'Review_Body': 'Its a very centrally placed serviced apartments in peaceful location of Sadhashiv nagar. Beds were comfortable and room size was large.\nThe Wifi and the phone network are really bad, made it difficult to have a regular or a WhatsApp call. Room could have had few more amenities like tea bags.'}, {'Review_Rating': '4.0', 'Review_Heading': 'Not recommended at all”', 'Review_Body': 'You have to request for toilet paper, towel, tea milk powder. When asked the reason, the reply from reception cited labour shortage for maintenance because the hotel is being moved to another location. But, we are not staying there for free, right? Imagine, if international travellers unaware of this, are asked to call reception for toilet paper. What impression does the management want to leave for India?'}, {'Review_Rating': '4.4', 'Review_Heading': 'No WiFi, dirty bathroom”', 'Review_Body': 'No WiFi! They say they have it but it does not work. The bathroom was dirty, the whole room needed painting. Mold on the bathroom ceiling. Tears in the bottom mattress. '}, {'Review_Rating': '7.2', 'Review_Heading': 'Very good”', 'Review_Body': 'Polite staff,willing to listen and get things done.wifi needs up grading ,the room cupboards need to be cleaned and kept fresh(musty and not fresh).would thank the front desk managers,polite and helpful.'}, {'Review_Rating': '8.0', 'Review_Heading': 'Ok, hotel for money but not that quite.”', 'Review_Body': 'Staff was nice, and breakfast was great. The neighborhood is very quiet, but inside the hotel room I could hear alot of nosie from people talking in the hotel and chairs being moved around, etc. Even during the night as I was sleeping I heard noise. Wifi also was not great. Room was clean and nice. '}, {'Review_Rating': '8.3', 'Review_Heading': 'It was allright”', 'Review_Body': 'Room service, Reception support, Affordable'}, {'Review_Rating': '8.3', 'Review_Heading': 'Cool & Peaceful”', 'Review_Body': 'Quite, Well maintained, Average food'}, {'Review_Rating': '9.7', 'Review_Heading': 'Great Place, excellent room, value for money place”', 'Review_Body': 'Excellent rooms, spacious, very clean, good breakfast'}, {'Review_Rating': '9.0', 'Review_Heading': 'Five star service at a three star price”', 'Review_Body': 'Very good reception and housekeeping service plus spacious room'}, {'Review_Rating': '8.3', 'Review_Heading': 'Very close to my business meeting place”', 'Review_Body': 'Good Staff Performance'}, {'Review_Rating': '7.7', 'Review_Heading': 'home away from home”', 'Review_Body': 'homely'}, {'Review_Rating': '8.0', 'Review_Heading': 'Good hotel but somewhat expensive”', 'Review_Body': 'Courteous staff'}, {'Review_Rating': '6.0', 'Review_Heading': 'good location”', 'Review_Body': 'big room with TV'}, {'Review_Rating': '9.0', 'Review_Heading': '良いホテルでした”', 'Review_Body': 'ホテルスタッフが親切、朝食が良い、部屋が広い'}, {'Review_Rating': '4.0', 'Review_Heading': '9”', 'Review_Body': 'Havlular beyaz değil pislikten gri olmuş. Temizlik sıkıntılı.\nAkşam sıcak su yok.\n...'}], 'price': '3,325', 'img_link': 'https://pix8.agoda.net/hotelImages/128/128429/128429_090325143900392347.jpg?ca=0&ce=1&s=1024x768', 'room_size': '33m²', 'amenities': ['City view'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/the-chevron-orchards/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=1&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
3,"{'Location': 'Near IIBS College, Yerthiganahalli, Kempegowda International Airport, Devanahalli, Bangalore, India, 562159', 'overall_rating': '6.5', 'Name': 'Hotel Terminal View', 'reviews': [{'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Everything was bad.. worst place and dirtiest place to be. Scariest location.'}], 'price': '1,554', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/407023515.jpg?k=199a7b2428de904517266b6fa45e3db797ce0d02e5e9c9140f1ca8fd2b0aa0d9&o=', 'room_size': '19m²', 'amenities': ['Courtyard view', 'Shower and bathtub', 'Cleaning products', 'Toiletries', 'Towels', 'Walk-in shower', 'TV [flat screen]', 'Air purifier', 'Fan', 'Hand sanitizer', 'Linens', 'Private entrance', 'Sleep comfort items', 'Soundproofing', 'Coffee/tea maker', 'Dining table', 'Free bottled water', 'Seating area', 'Separate dining area', 'Tile/marble flooring', 'Trash cans', 'Closet', 'Clothes rack', 'Ironing facilities', 'Trouser press', 'Fire extinguisher', 'Individual air conditioning', 'Safety/security feature', 'Smoke detector'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-terminal-view_4/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
4,"{'Location': '27, Sankhal Complex, 3rd Cross, Subrna Paliya, Banswadi Main Road, HBR Layout, Bangalore, India', 'overall_rating': '6.8', 'Name': 'Flagship Hotel Aaira Inn Near Sri Amruth Chithra Mandira', 'reviews': [{'Review_Rating': '2.8', 'Review_Heading': 'Took extra money ”', 'Review_Body': 'They took extra money as per the Oyo rates and if you booked in Agoda also no use they will ask for extra only no staff good and only location is suggestive '}, {'Review_Rating': '5.6', 'Review_Heading': 'Very rude staff and customer service very poor as groomed by management ”', 'Review_Body': ""I paid online and was told on arrival that the discount price don't apply...Very bad and rude behaviour on arrival..had that been informed i would taken an alternate option...had it not been for Oyo support i would have been stranded with no stay option\n""}], 'price': '987', 'img_link': 'https://pix8.agoda.net/hotelImages/5043267/-1/0f0a8c256e12fceec4f318dca786d3b5.jpg?ca=0&ce=1&s=1024x768', 'room_size': '0', 'amenities': ['Non-smoking', 'Free Wi-Fi', 'Hair dryer', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Air conditioning', 'Fan'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-11640-hotel-aaira-inn_2/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
5,"{'Location': 'No.659, Ms Building, Medahalli, Kr Puram, Old Madras Road Banglore, Bangalore, Krishnarajapura, Bangalore, India, 560049', 'overall_rating': '3.3', 'Name': 'Flagship 701068 Gn Nelli Suites', 'reviews': [{'Review_Rating': '1.0', 'Review_Heading': 'There is nothing good, place is surounded drunken people all the times, the oyo operator asking for”', 'Review_Body': 'There is nothing good, place is surounded drunken people all the times, the oyo operator asking for more money i booked for three days could not stay overnight , move to another hotel by morning very unsafe place'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Nothing'}, {'Review_Rating': '1.0', 'Review_Heading': 'Chutiya hay iye hotels ka sab”', 'Review_Body': 'Chutiya hay iye hotels ka sab'}], 'price': '840', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/426102665.jpg?k=af309495619e976d90ed790010508b3939cd59a5c8537754a931abc390db90e0&o=', 'room_size': '0', 'amenities': ['Free Wi-Fi', 'Free Wi-Fi in all rooms!', 'TV', 'Air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-flagship-70108-gn-nelli-suites/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
6,"{'Location': 'No.75, Hospital Road, Near Majestic Theatre, Bangalore City Center, Bangalore, India, 560053', 'overall_rating': '8.2', 'Name': 'Hotel Swagath', 'reviews': [{'Review_Rating': '8.0', 'Review_Heading': 'overall good”', 'Review_Body': 'breakfast needs improve more.'}, {'Review_Rating': '7.0', 'Review_Heading': 'Overall good”', 'Review_Body': 'No comments'}, {'Review_Rating': '9.0', 'Review_Heading': 'Wonderful”', 'Review_Body': 'Breakfast is good, but eating same breakfast for 3 days is boring. There should be change of breakfast every day I believe. Location of the Hotel is good and comfort in all respects.'}], 'price': '1,890', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/91751483.jpg?k=8b570a4068c8452deb66b57f8b5e13a81d8ade87be4a696e945dfd82ec32544c&o=', 'room_size': '19m²', 'amenities': ['Outdoor view', 'Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Fan', 'Hand sanitizer', 'Linens', 'Wake-up service', 'Dining table', 'Free bottled water', 'Desk', 'Seating area', 'Sofa', 'Tile/marble flooring', 'Trash cans', 'Closet', 'Clothes rack', 'Fire extinguisher', 'In-room safe box', 'Locker', 'Safety/security feature'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-swagath/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
7,"{'Location': '4th Main Road, Maithri Layout, Kadugodi, Whitefield, Bangalore, India, 560066', 'overall_rating': '6.9', 'Name': 'The Byke Signature Pure Veg', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Good”', 'Review_Body': 'Good'}, {'Review_Rating': '6.4', 'Review_Heading': 'Good for solo travellers”', 'Review_Body': 'Not worth the money they charge. Location is quite far from the main city.'}, {'Review_Rating': '6.4', 'Review_Heading': 'Good”', 'Review_Body': 'ok'}, {'Review_Rating': '5.2', 'Review_Heading': 'Poor maintenance but polite staff”', 'Review_Body': 'Probably as a result of the pandemic, the hotel rooms are not highly maintained and are visibly old. However, the staff is very helping and polite.'}, {'Review_Rating': '2.8', 'Review_Heading': 'Not trend staff take time for check in ”', 'Review_Body': ""Also 1 men in the lift and electricity gone they don't know to use key of lift and taking out person .When i ask for key then they arrange.""}, {'Review_Rating': '6.4', 'Review_Heading': 'Average”', 'Review_Body': ""Decent hotel. Don't expect too much. ""}, {'Review_Rating': '2.0', 'Review_Heading': 'Worest choice”', 'Review_Body': 'Worest choice i made. Room was smelly. Images are just for fancy show!'}, {'Review_Rating': '10.0', 'Review_Heading': 'Nice”', 'Review_Body': 'Nice hotel and gentle staff'}, {'Review_Rating': '5.2', 'Review_Heading': 'Worst hotel experience at this place ”', 'Review_Body': 'A big no to thus place for all the people looking for a pleasant stay in Bangalore. Though this us located at a nice place in whitefield, however the property is very poorly maintained by its owner. Apart from location, and a very friendly staff there are no other positive points to look at. It lacks basic amenities to the core. None of the faucets works in the bathroom. Those are all rusted and in bad shape. AC doesn’t works, there was no water in the bathroom. The staff looked helpless and clueless in solving the problems. It was obvious and easy to understand that management has no care for customer. All they look for is money. Do not go to this place until you really want to waste your money and like to experience a horrible stay at this place.'}, {'Review_Rating': '7.2', 'Review_Heading': 'Expensive”', 'Review_Body': 'I felt the hotel was expensive'}, {'Review_Rating': '6.4', 'Review_Heading': 'Good hotel to stay ”', 'Review_Body': 'Pros\nCooperative staff\nClean and large rooms\n\nCons\nRust in bathroom equipments (shower, taps....) \nLimescale across taps and buckets \n\n\n'}, {'Review_Rating': '9.2', 'Review_Heading': 'Best place”', 'Review_Body': 'Better place to stay'}, {'Review_Rating': '4.4', 'Review_Heading': 'No maintenance ”', 'Review_Body': 'There is no proper maintenance.  Lift was faulty since months. Restaurant was not open. The reason they quote was no  enough occupancy. Highly disappointed. '}, {'Review_Rating': '2.8', 'Review_Heading': 'BAD”', 'Review_Body': 'VERY BAD CLEANLINESS , I DONT  RECOMMEND TO ANY BODY '}, {'Review_Rating': '2.0', 'Review_Heading': 'i requested for an early check in through agoda. there was nonresponse from agoda. ”', 'Review_Body': 'finally when i reached, on 19th morning, i was not given room, i was told that there was no such request from agoda. i booked another hotel urgently and left treebo iwe suits. i did not even see the room. thanks'}, {'Review_Rating': '5.0', 'Review_Heading': 'very ordinary hotel”', 'Review_Body': 'calm and quite'}, {'Review_Rating': '9.6', 'Review_Heading': 'NA”', 'Review_Body': 'Na'}], 'price': '3,262', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/183086326.jpg?k=ff71ba74fe1f775da60beb8e2b857993325521a7e964cf9eb490145f12f60005&o=', 'room_size': '11m²', 'amenities': ['Outdoor view', 'Shower and bathtub', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'TV [flat screen]', 'Air conditioning', 'Alarm clock', 'Fan', 'Linens', 'Wake-up service', 'Coffee/tea maker', 'Free bottled water', 'Separate dining area', 'Accessible by elevator'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/the-byke-signature-pure-veg/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=4,-1&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
8,"{'Location': 'No,1,1st Floor Outer Ring Road Next to Cafe Coffee Day, Munenkollal, Marathalli, Marathahalli, Bangalore, India, 560037', 'overall_rating': '6.2', 'Name': 'La Sara Comforts', 'reviews': [{'Review_Rating': '4.8', 'Review_Heading': 'Good Location but Old building and Cleanliness”', 'Review_Body': ""The photos gives an perception that the rooms are neat and clean however its not. Also its not safe for Couples/Marriage people. Rooms are very Old and no natural lights which feels scary. Bathroom ventilation's are broken and can sneak in.\nYou can opt this hotel for emergency and if your single only.""}, {'Review_Rating': '5.6', 'Review_Heading': 'Everage hotel at good location”', 'Review_Body': 'the hotel was next t my site and it was pleasent to stay here'}, {'Review_Rating': '2.0', 'Review_Heading': 'Poor facilities”', 'Review_Body': 'This is one of the worst places i ever stayed. The towel are all torn that is given. The rooms are shoddy and ill kept we decided to check out immiediately to another place in 3 hrs. The food served in the restaurant is very low quality the soup was stale'}, {'Review_Rating': '2.8', 'Review_Heading': 'Avoid this Hotel”', 'Review_Body': 'avoid this hotel!'}, {'Review_Rating': '6.0', 'Review_Heading': 'Wrong location as shown on Google maps  had to let go the uber and take an auto asking for location,”', 'Review_Body': 'I had booked considering it is 350 metres away from sakra hospital.'}, {'Review_Rating': '8.0', 'Review_Heading': 'Value for money”', 'Review_Body': ""Overall it's value for money. Location is very good, with restaurants, shops near by. Room size is very small but manageable.""}, {'Review_Rating': '6.0', 'Review_Heading': 'Not a great experience”', 'Review_Body': ""I booked a deluxe room for an overnight stay of 4 hrs because I he to catch a flight early morning. The place was clean but small. The bed was comfortable .\n The toilet flush wasn't working and I had to struggle to make it work in the middle of the night. The worst part is something which should be essential in every hotel is sound proof. I was able to hear all noises nearby including the people in the hall way. It was very difficult to sleep. I did not stay long enough to assess other things . But based on sleep quality alone I would reject it""}, {'Review_Rating': '4.8', 'Review_Heading': 'Not so good deal”', 'Review_Body': 'Without out the knowledge of the visitors, abruptly changed the room.Went out and came back in an hrs time they shifted the baggages to other room with out consulting, once booked forceing one stay in other room to the inconvenence.\nDust and cleanliness issue and other like staff'}, {'Review_Rating': '7.3', 'Review_Heading': 'good place to stay”', 'Review_Body': 'Clean room'}, {'Review_Rating': '5.7', 'Review_Heading': 'Worst customer service I have eve seen..”', 'Review_Body': 'Location is the best thing'}, {'Review_Rating': '5.7', 'Review_Heading': 'good service of people but room moderately clean”', 'Review_Body': 'people are so nice and friendly...good location....price is not expensive'}, {'Review_Rating': '7.3', 'Review_Heading': 'Worth for money”', 'Review_Body': 'Location'}, {'Review_Rating': '5.0', 'Review_Heading': 'Nandhana Stay”', 'Review_Body': 'location, ease of transport, shopping'}], 'price': '2,112', 'img_link': 'https://pix8.agoda.net/hotelImages/519412/-1/40d228d5cd79e5b2824aeb73383519ed.jpg?ca=13&ce=1&s=1024x768', 'room_size': '18m²', 'amenities': ['City view', 'Shower', 'Free Wi-Fi', 'Hair dryer', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Daily newspaper', 'Linens', 'Soundproofing', 'Wake-up service', 'Free bottled water', 'Daily housekeeping', 'Desk', 'Closet', 'Clothes rack', 'Ironing facilities', 'Trouser press', 'Exterior corridor', 'Fire extinguisher', 'In-room safe box', 'Smoke detector'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-nandhana-comforts_2/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=1&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
9,"{'Location': '7th Cross Road NEAR FARHAN NURSING COLLEGE, KANAKASHREE HOUSING SOCIETY, KANNURU, Devanahalli, Bangalore, India, 560077', 'overall_rating': '7.0', 'Name': 'HOTEL SLN INN', 'reviews': [{'Review_Rating': '3.0', 'Review_Heading': 'Poor”', 'Review_Body': 'Location'}, {'Review_Rating': '2.0', 'Review_Heading': 'Very poor”', 'Review_Body': 'calm peace'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Nothing'}, {'Review_Rating': '7.0', 'Review_Heading': 'good value for money”', 'Review_Body': 'friendly staff'}, {'Review_Rating': '10.0', 'Review_Heading': 'Great stay with nice views, peaceful surroundings”', 'Review_Body': 'Location is just perfect, away from all noise, yet very close to HBR Hebbal and Hennur, nice and clean rooms, good staff, amazing views, serene greenary around makes it so amazing experience'}, {'Review_Rating': '6.0', 'Review_Heading': 'nice”', 'Review_Body': 'nice'}, {'Review_Rating': '10.0', 'Review_Heading': 'Good budget hotel you will not face any issues”', 'Review_Body': ""Wifi is there even it's not  mentioned""}], 'price': '1,175', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/391119326.jpg?k=fc26cea0c18565b7e0aed250789f8396860209aa41aaed6dd6fe9a36661510e4&o=', 'room_size': '180m²', 'amenities': ['Outdoor view', 'Balcony/terrace', 'TV [flat screen]', 'Air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-sln-inn/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=1&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
